WorkflowID,ID,AbstractIonID,IonDescription,Charge,Mass,RetentionTime,LeftRetentionTime,RightRetentionTime,FWHM,Area,FillStatus,FileID,StudyFileID
0,1,1,[M+H]+1,1,496.3399336360677,7.858583257317228,7.80292441455724,7.995326370008734,0.04269301678555774,2005138.7499326451,128,23855,F3
0,2,2,[M+Na]+1,1,518.3218783060678,7.858583257317228,7.809361414300385,7.997457978238721,0.042424061845400034,207610.74927333358,32,23855,F3
0,3,4,[M+K]+1,1,534.2958155060677,7.858583257317228,7.808354484264824,7.960248220521317,0.04382920527287778,214487.10356675883,32,23855,F3
0,4,1,[M+H]+1,1,758.5697072664352,10.98214329260606,10.814661255455128,11.257506771659958,0.08182990066953214,570839.6644733605,8,23855,F3
0,5,2,[M+Na]+1,1,780.5516519364353,10.98214329260606,10.818455735344866,11.272249868345773,0.09144795598219524,352644.0219975137,32,23855,F3
0,6,4,[M+K]+1,1,796.5255891364352,10.98214329260606,10.886519689618043,11.122211318074159,0.09079720905982178,350134.59453635797,32,23855,F3
0,7,2,[M+Na]+1,1,236.0713828098045,6.4506224534966625,6.391811673591019,6.634946626145818,0.044002793740182976,126335.36875550458,32,23855,F3
0,8,4,[M+K]+1,1,252.0453200098045,6.4506224534966625,6.399673879174176,6.509972551332408,0.04100729936413523,117735.0764913921,32,23855,F3
0,9,5,[M+NH4]+1,1,231.11598722980452,6.4506224534966625,6.393030374529304,6.593005699530915,0.044586173124750314,128010.2953546848,32,23855,F3
0,10,1,[M+H]+1,1,399.25058139960277,7.482220353112312,7.422617507746832,7.6688637635155015,0.03597714927319847,181536.26445570885,32,23855,F3
0,11,2,[M+Na]+1,1,421.2325260696028,7.482220353112312,7.419912339879701,7.647909923030564,0.07076780339450428,375604.9207250028,32,23855,F3
0,12,4,[M+K]+1,1,437.2064632696028,7.482220353112312,7.4302965980042455,7.587096840269311,0.059137514782761524,313876.37437362934,32,23855,F3
0,13,1,[M+H]+1,1,782.5696118667108,10.864921019216412,10.764940289749319,10.976560889443041,0.08331657711355413,324236.7916843405,32,23855,F3
0,14,2,[M+Na]+1,1,804.5515565367109,10.864921019216412,10.746422770351625,11.038204950025134,0.07966737518862352,310035.46986653225,32,23855,F3
0,15,4,[M+K]+1,1,820.5254937367108,10.864921019216412,10.761782028227975,10.955227169344752,0.07718240444641955,300364.89806923515,32,23855,F3
0,16,2,[M+Na]+1,1,782.5669996781182,11.76434405707728,11.567258956821444,12.070328772457126,0.11467459978796732,423734.668212892,32,23855,F3
0,17,4,[M+K]+1,1,798.5409368781181,11.76434405707728,11.652566357018735,11.903050283156022,0.11303180369421151,417664.3644227226,32,23855,F3
0,18,1,[M+H]+1,1,786.6008486917775,12.195779844347289,12.043696467783086,12.442377336076383,0.1100561319435168,847113.5317193414,128,23855,F3
0,19,2,[M+Na]+1,1,808.5827933617776,12.195779844347289,12.050578946402066,12.392289603283398,0.10846396990672957,400518.9001309165,32,23855,F3
0,20,4,[M+K]+1,1,824.5567305617775,12.195779844347289,12.067300351961924,12.357315079077555,0.10261658346242122,378926.5797564296,32,23855,F3
0,21,3,[M+H-H2O]+1,1,768.5902840317775,12.195779844347289,12.159776006316118,12.246313856219228,0.023794799899963692,84915.45541645428,32,23855,F3
0,22,1,[M+H]+1,1,524.3712433971215,8.191425982654174,8.13360761963136,8.378064121929874,0.04513243800268185,885423.7764776531,128,23855,F3
0,23,2,[M+Na]+1,1,546.3531880671216,8.191425982654174,8.139923094508807,8.334085293551901,0.04673480015822916,219455.33144674057,32,23855,F3
0,24,4,[M+K]+1,1,562.3271252671215,8.191425982654174,8.13414117233671,8.305121098326815,0.050007907295986254,234825.0518551993,32,23855,F3
0,25,3,[M+H-H2O]+1,1,506.3606787371215,8.191425982654174,8.117677816534627,8.226502774938533,0.032229035096317915,151339.762988709,32,23855,F3
0,26,1,[M+H]+1,1,162.11241087861978,0.9510738260756544,0.8918167124123734,1.164505423101918,0.03683865960466931,259030.30497318017,128,23855,F3
0,27,2,[M+Na]+1,1,184.09435554861977,0.9510738260756544,0.9040571526779759,1.0373432240976919,0.035868333316518064,19514.311753828457,32,23855,F3
0,28,3,[M+H-H2O]+1,1,144.10184621861978,0.9510738260756544,0.8758118181287645,1.0329126684724688,0.029930451965421656,227823.11613472863,128,23855,F3
0,29,1,[M+H]+1,1,520.3398384230153,7.7403353295369,7.682800467611206,7.869877020947567,0.03908575430608491,283340.8575228763,8,23855,F3
0,30,2,[M+Na]+1,1,542.3217830930154,7.7403353295369,7.6872629889714785,7.8409250724009265,0.03969394256002257,201523.69621824808,32,23855,F3
0,31,4,[M+K]+1,1,558.2957202930153,7.7403353295369,7.693464459660646,7.810802324695385,0.037272009129047046,189227.6896861004,32,23855,F3
0,32,1,[M+H]+1,1,522.3555124848092,7.929260826484545,7.871840110941199,8.055132362334614,0.04601095961272084,1546570.9253787217,128,23855,F3
0,33,2,[M+Na]+1,1,544.3374571548093,7.929260826484545,7.869975609876164,8.048435698049714,0.04375402248764422,204525.61201143617,32,23855,F3
0,34,4,[M+K]+1,1,560.3113943548092,7.929260826484545,7.871502283521041,8.040371873286908,0.0453587867799361,212026.9885787628,32,23855,F3
0,35,1,[M+H]+1,1,810.6008268853104,12.047322241768267,11.922982521674724,12.20388588953849,0.09054946269645558,341170.02591548493,32,23855,F3
0,36,2,[M+Na]+1,1,832.5827715553105,12.047322241768267,11.927311910254524,12.18379769112941,0.09200590952725704,346657.59026111534,32,23855,F3
0,37,4,[M+K]+1,1,848.5567087553104,12.047322241768267,11.942257775520995,12.159727937965638,0.10111245586970696,380969.01033071027,32,23855,F3
0,38,1,[M+H]+1,1,220.11777460448394,4.59216876191138,4.499136226063027,4.76994519420967,0.04787335363274274,470446.20073736773,8,23855,F3
0,39,2,[M+Na]+1,1,242.09971927448393,4.59216876191138,4.535144983396913,4.71189158148168,0.0486536489071427,44042.71508654157,32,23855,F3
0,40,3,[M+H-H2O]+1,1,202.10720994448394,4.59216876191138,4.489976273723423,4.836809657760441,0.057973970216937065,1360454.5638084996,128,23855,F3
0,41,4,[M+K]+1,1,258.0736564744839,4.59216876191138,4.529010304233342,4.814011371553849,0.06981112137312451,63195.081922357356,32,23855,F3
0,42,23,[M-H]-1,-1,218.10322134448393,4.59216876191138,4.533615084934135,4.750310931734353,0.047915881356095556,34138.36331196341,8,23855,F3
0,43,1,[M+H]+1,1,784.5850588010447,11.261816927527711,11.160036679514176,11.4005323565085,0.11358240900763619,426871.931601534,32,23855,F3
0,44,2,[M+Na]+1,1,806.5670034710448,11.261816927527711,11.157984360819857,11.397175308332642,0.11752841610871712,441702.04207434977,32,23855,F3
0,45,3,[M+H-H2O]+1,1,766.5744941410447,11.261816927527711,11.14545697978958,11.419253186899667,0.08276637841020396,311057.3559084486,32,23855,F3
0,46,4,[M+K]+1,1,822.5409406710447,11.261816927527711,11.12189099645595,11.436756635930603,0.1633243649254569,632900.3314076613,32,23855,F3
0,47,1,[M+H]+1,1,520.3399223244525,7.6709986471033185,7.616714941901419,7.699703895853052,0.039510797579911945,203333.84510857737,32,23855,F3
0,48,2,[M+Na]+1,1,542.3218669944525,7.6709986471033185,7.626339842486645,7.699788326132561,0.04056695218289674,208769.11823916095,32,23855,F3
0,49,4,[M+K]+1,1,558.2958041944524,7.6709986471033185,7.623514283337456,7.699726023248428,0.03552105336156982,182801.4822456299,32,23855,F3
0,50,23,[M-H]-1,-1,339.2314692789953,7.928556918937395,7.870244180445548,8.113797234987421,0.037324862019581385,53381.28592270101,32,23855,F3
0,51,1,[M+H]+1,1,341.24602253899525,7.928556918937395,7.891230188140069,7.978357222009494,0.03511971304895001,164165.03892941293,32,23855,F3
0,52,5,[M+NH4]+1,1,358.27257162899525,7.928556918937395,7.881389881352516,7.984734824478559,0.03361768678006305,157143.90522706337,32,23855,F3
0,53,2,[M+Na]+1,1,363.22796720899527,7.928556918937395,7.888046098693852,7.985991665665949,0.03845416986318373,179751.76174671372,32,23855,F3
0,54,1,[M+H]+1,1,496.33991182069315,7.7755747897295775,7.718984085050926,7.813266487866569,0.041181596179660024,2005138.7499326451,128,23855,F3
0,55,2,[M+Na]+1,1,518.3218564906932,7.7755747897295775,7.725939749295941,7.811463868945556,0.04255974760358683,198804.0460059579,32,23855,F3
0,56,4,[M+K]+1,1,534.2957936906931,7.7755747897295775,7.7291831963475435,7.805687767586697,0.03959141340041139,184938.43629920733,32,23855,F3
0,57,1,[M+H]+1,1,806.5693112429402,10.666764261647478,10.563682099955935,10.803161117213625,0.07150681560986305,277854.8026760703,32,23855,F3
0,58,2,[M+Na]+1,1,828.5512559129403,10.666764261647478,10.555889628031634,10.824042788179828,0.0794962418871042,308899.40231073304,32,23855,F3
0,59,4,[M+K]+1,1,844.5251931129402,10.666764261647478,10.581299955824441,10.787957490662167,0.08612426255543593,334653.97352503566,32,23855,F3
0,60,1,[M+H]+1,1,123.05518336292941,3.9189148937765936,3.839181618149139,4.074595760107549,0.042658720941735305,1044716.1762044757,8,23855,F3
0,61,1,[M+H]+1,1,203.05249516830114,0.8316715386104067,0.7221417566677099,0.9908498348870504,0.05062125409551887,78985.49562304614,128,23855,F3
0,62,2,[M+Na]+1,1,225.03443983830113,0.8316715386104067,0.7821905050007132,0.9540407094684865,0.03861103172836674,19884.12270857262,32,23855,F3
0,63,4,[M+K]+1,1,241.00837703830112,0.8316715386104067,0.7878247548857701,0.8857773393113784,0.020524895685053668,10570.024319822118,32,23855,F3
0,64,1,[M+H]+1,1,268.1039267729041,4.340443994874057,4.222441498698534,4.577858623128873,0.06172167583244903,2207694.6347163226,128,23855,F3
0,65,2,[M+Na]+1,1,290.08587144290414,4.340443994874057,4.2591263859157085,4.431309964459901,0.04536263093733902,54193.37674939551,32,23855,F3
