peak_id,mz,rt,intensity,homologue_id,within_series_id
1575,145.08702,368.16,1575,NA,NA
292,145.93078,932.16,292,NA,NA
753,146.06003,291.42,753,NA,NA
1494,146.08118,53.52,1494,NA,NA
689,146.08225,57.059999999999995,689,NA,NA
830,146.11756,59.46,830,NA,NA
806,146.96117,932.7,806,NA,NA
633,147.11279,44.88,633,NA,NA
692,147.1492,933.12,692,NA,NA
326,148.06043,50.519999999999996,326,NA,NA
1258,148.09683,53.1,1258,NA,NA
1060,148.93513,45.480000000000004,1060,NA,NA
1686,149.00253,41.82,1686,NA,NA
63,149.02317,522.4200000000001,63,NA,NA
497,149.02329,399.96000000000004,497,NA,NA
670,149.02329,427.08000000000004,670,NA,NA
165,149.02329,446.22,165,NA,NA
690,149.02331,436.5,690,NA,NA
1430,149.04551,50.94,1430,NA,NA
169,150.05834,104.94000000000001,169,NA,NA
611,150.88654,46.02,611,NA,NA
385,150.96883,938.76,385,NA,NA
1257,150.98286,42.18,1257,NA,NA
1772,151.06148,259.8,1772,NA,NA
183,151.0965,250.86,183,2,1
522,151.11175,384.12,522,NA,NA
523,151.11175,384.12,523,NA,NA
399,151.11176,355.2,399,NA,NA
182,152.05664,249.72,182,NA,NA
621,152.0706,240.71999999999997,621,NA,NA
341,152.07062,280.62,341,NA,NA
654,152.10699,228.54000000000002,654,NA,NA
1311,153.01929,304.74,1311,3,1
1101,153.06588,243.29999999999998,1101,NA,NA
515,153.06588,247.14,515,NA,NA
16,153.09183,400.44,16,NA,NA
1073,154.88064,46.08,1073,NA,NA
1547,155.04274,47.400000000000006,1547,NA,NA
987,155.04678,361.38,987,NA,NA
709,155.10664,382.56,709,NA,NA
678,155.10664,390.12,678,1,3
479,155.10665,382.56,479,NA,NA
735,155.15427,294.6,735,NA,NA
212,156.07673,47.88,212,NA,NA
44,158.02692,387.12,44,NA,NA
327,158.15392,406.26,327,NA,NA
209,158.96403,44.76,209,NA,NA
1226,158.97847,42.839999999999996,1226,NA,NA
362,159.06517,337.08000000000004,362,NA,NA
1523,160.09682,54.18,1523,NA,NA
150,160.84203,53.1,150,NA,NA
979,160.91531,45.480000000000004,979,NA,NA
864,161.09609,416.58,864,NA,NA
843,161.84978,53.76,843,NA,NA
11,162.11241,57.059999999999995,11,NA,NA
1399,162.98278,42.12,1399,NA,NA
920,163.03899,446.15999999999997,920,NA,NA
903,163.07535,395.03999999999996,903,NA,NA
921,163.11325,475.68,921,NA,NA
160,163.13287,364.74,160,4,1
321,163.97667,930,321,NA,NA
1249,164.03759,230.70000000000002,1249,NA,NA
