CHROMATOGRAM
S:\raw data Q Exactive\@Experiments\DP00026-PhD Project\KU data\PCI-flowrate-IS-KU\Exp4\1uM\240815-PAN-001-Blank-1uM-05ulmin.raw
Data points: 117265
Time(min),ElutingPump_Pressure bar
0.054166667,350.51
0.054333333,350.54
0.0545,350.57
0.054666667,350.58
0.054833333,350.58
0.055,350.59
0.055166667,350.59
0.055333333,350.59
0.0555,350.6
0.055666667,350.63
0.055833333,350.66
0.056,350.68
0.056166667,350.69
0.056333333,350.71
0.0565,350.72
0.056666667,350.74
0.056833333,350.75
0.057,350.77
0.057166667,350.8
0.057333333,350.83
0.0575,350.85
0.057666667,350.86
0.057833333,350.89
0.058,350.91
0.058166667,350.93
0.058333333,350.95
0.0585,350.98
0.058666667,351.01
0.058833333,351.03
0.059,351.04
0.059166667,351.05
0.059333333,351.06
0.0595,351.06
0.059666667,351.06
0.059833333,351.07
0.06,351.09
0.060166667,351.11
0.060333333,351.12
0.0605,351.12
0.060666667,351.13
0.060833333,351.14
0.061,351.14
0.061166667,351.14
0.061333333,351.14
0.0615,351.15
0.061666667,351.17
0.061833333,351.18
0.062,351.18
0.062166667,351.18
0.062333333,351.17
0.0625,351.16
0.062666667,351.16
0.062833333,351.18
0.063,351.2
0.063166667,351.21
0.063333333,351.21
0.0635,351.22
0.063666667,351.22
0.063833333,351.21
0.064,351.21
0.064166667,351.21
0.064333333,351.22
0.0645,351.23
0.064666667,351.23
0.064833333,351.22
0.065,351.22
0.065166667,351.22
0.065333333,351.23
0.0655,351.24
0.065666667,351.26
0.065833333,351.28
0.066,351.31
0.066166667,351.32
0.066333333,351.33
0.0665,351.34
0.066666667,351.34
0.066833333,351.34
0.067,351.35
0.067166667,351.38
0.067333333,351.4
0.0675,351.42
0.067666667,351.42
0.067833333,351.43
0.068,351.44
0.068166667,351.45
0.068333333,351.46
0.0685,351.48
0.068666667,351.5
0.068833333,351.51
0.069,351.51
0.069166667,351.51
0.069333333,351.53
0.0695,351.53
0.069666667,351.53
0.069833333,351.53
0.07,351.54
0.070166667,351.55
0.070333333,351.57
0.0705,351.57
0.070666667,351.57
0.070833333,351.58
0.071,351.59
0.071166667,351.59
0.071333333,351.6
0.0715,351.62
0.071666667,351.64
0.071833333,351.65
0.072,351.64
0.072166667,351.63
0.072333333,351.62
0.0725,351.61
0.072666667,351.6
0.072833333,351.6
0.073,351.6
0.073166667,351.61
0.073333333,351.61
0.0735,351.61
0.073666667,351.62
0.073833333,351.62
0.074,351.62
0.074166667,351.62
0.074333333,351.64
0.0745,351.67
0.074666667,351.7
0.074833333,351.71
0.075,351.72
0.075166667,351.73
0.075333333,351.75
0.0755,351.76
0.075666667,351.78
0.075833333,351.81
0.076,351.84
0.076166667,351.86
0.076333333,351.88
0.0765,351.92
0.076666667,351.94
0.076833333,351.97
0.077,351.99
0.077166667,352.03
0.077333333,352.06
0.0775,352.09
0.077666667,352.1
0.077833333,352.11
0.078,352.13
0.078166667,352.14
0.078333333,352.15
0.0785,352.16
0.078666667,352.18
0.078833333,352.2
0.079,352.23
0.079166667,352.24
0.079333333,352.25
0.0795,352.26
0.079666667,352.27
0.079833333,352.26
0.08,352.26
0.080166667,352.27
0.080333333,352.28
0.0805,352.28
0.080666667,352.27
0.080833333,352.27
0.081,352.27
0.081166667,352.27
0.081333333,352.27
0.0815,352.29
0.081666667,352.3
0.081833333,352.33
0.082,352.35
0.082166667,352.36
0.082333333,352.37
0.0825,352.37
0.082666667,352.37
0.082833333,352.37
0.083,352.38
0.083166667,352.4
0.083333333,352.42
0.0835,352.42
0.083666667,352.43
0.083833333,352.43
0.084,352.43
0.084166667,352.44
0.084333333,352.46
0.0845,352.48
0.084666667,352.5
0.084833333,352.51
0.085,352.52
0.085166667,352.52
0.085333333,352.51
0.0855,352.51
0.085666667,352.51
0.085833333,352.53
0.086,352.54
0.086166667,352.55
0.086333333,352.54
0.0865,352.55
0.086666667,352.55
0.086833333,352.55
0.087,352.55
0.087166667,352.56
0.087333333,352.57
0.0875,352.59
0.087666667,352.6
0.087833333,352.6
0.088,352.6
0.088166667,352.6
0.088333333,352.61
0.0885,352.63
0.088666667,352.67
0.088833333,352.72
0.089,352.76
0.089166667,352.78
0.089333333,352.79
0.0895,352.81
0.089666667,352.82
0.089833333,352.83
0.09,352.85
0.090166667,352.88
0.090333333,352.9
0.0905,352.92
0.090666667,352.92
0.090833333,352.93
0.091,352.93
0.091166667,352.93
0.091333333,352.92
0.0915,352.93
0.091666667,352.94
0.091833333,352.96
0.092,352.97
0.092166667,352.97
0.092333333,352.98
0.0925,352.98
0.092666667,352.99
0.092833333,352.99
0.093,353.01
0.093166667,353.04
0.093333333,353.07
0.0935,353.08
0.093666667,353.1
0.093833333,353.12
0.094,353.12
0.094166667,353.12
0.094333333,353.12
0.0945,353.14
0.094666667,353.16
0.094833333,353.18
0.095,353.19
0.095166667,353.21
0.095333333,353.23
0.0955,353.25
0.095666667,353.27
0.095833333,353.3
0.096,353.33
0.096166667,353.37
0.096333333,353.39
0.0965,353.39
0.096666667,353.41
0.096833333,353.42
0.097,353.42
0.097166667,353.41
0.097333333,353.43
0.0975,353.46
